reviewNumber,overall,verified,vote,asin,reviewTime
0,4,0,0.0,0321719816,2010-10-20
1,4,0,0.0,0321719816,2010-10-18
2,5,0,0.0,0321719816,2010-10-16
3,5,0,0.0,0321719816,2010-10-12
4,5,0,0.0,0321719816,2010-10-07
5,5,0,0.0,0321719816,2010-09-26
6,5,0,0.0,0321719816,2011-04-07
7,5,0,0.0,0321719816,2011-01-08
8,5,0,0.0,0321719816,2010-10-28
9,5,0,0.0,0321719816,2010-10-28
10,3,0,0.0,0321719816,2010-10-21
11,5,0,0.0,0321700945,2010-10-13
12,5,0,0.0,0321700945,2010-10-07
13,5,0,0.0,0321700945,2011-05-15
14,3,0,0.0,0321700945,2011-01-09
15,5,0,0.0,0321700945,2010-12-06
16,5,0,0.0,0321700945,2010-11-15
17,4,0,0.0,0321719824,2010-11-27
18,4,0,0.0,0321719824,2010-10-21
19,4,0,0.0,0321719824,2010-10-10
20,4,0,0.0,0321719824,2011-01-29
21,1,0,0.0,0763855553,2017-12-06
22,5,1,0.0,0763855553,2017-06-23
23,1,1,0.0,0763855553,2017-03-31
24,5,1,0.0,0763855553,2016-05-30
25,5,1,0.0,0763855553,2016-04-28
26,5,1,0.0,0763855553,2016-04-10
27,5,1,0.0,0763855553,2015-12-14
28,4,1,0.0,0763855553,2015-10-29
29,5,1,0.0,0763855553,2015-10-28
30,4,1,0.0,0763855553,2015-08-30
31,5,1,0.0,0763855553,2015-06-03
32,3,0,0.0,0763855553,2015-05-03
33,5,1,0.0,0763855553,2015-04-22
34,5,1,0.0,0763855553,2015-03-24
35,1,0,0.0,0763855553,2014-12-02
36,5,1,0.0,0763855553,2014-04-17
37,5,1,0.0,0763855553,2014-04-03
38,5,1,0.0,0763855553,2014-04-01
39,1,1,0.0,0763855553,2014-03-17
40,5,1,0.0,0763855553,2014-03-03
41,4,0,0.0,0763855553,2013-12-31
42,4,0,0.0,0763855553,2013-10-17
43,3,0,0.0,0763855553,2013-10-17
44,5,0,0.0,0763855553,2013-10-16
45,4,0,0.0,0763855553,2013-10-13
46,4,0,0.0,0763855553,2013-10-08
47,4,0,0.0,0763855553,2013-09-30
48,5,0,0.0,0763855553,2013-09-29
49,5,0,0.0,0763855553,2013-09-29
50,3,0,0.0,0763855553,2013-09-27
51,4,0,0.0,0763855553,2013-09-26
52,3,0,0.0,0763855553,2013-09-26
53,5,0,0.0,0763855553,2013-09-25
54,4,0,0.0,0763855553,2013-09-21
55,5,0,0.0,0763855553,2013-09-20
56,3,0,0.0,0763855553,2013-09-18
57,5,0,0.0,0982697813,2011-06-01
58,4,0,0.0,0982697813,2011-05-31
59,5,0,0.0,0982697813,2012-01-19
60,5,0,0.0,0982697813,2011-09-28
61,4,0,0.0,0982697813,2011-08-25
62,5,0,0.0,0982697813,2011-07-20
63,5,0,0.0,0982697813,2011-07-14
64,4,0,0.0,0982697813,2011-07-09
65,5,0,0.0,0982697813,2011-06-29
66,4,0,0.0,1413313701,2010-11-15
67,2,1,0.0,1413313701,2013-09-11
68,5,0,0.0,1413313701,2012-11-18
69,4,0,0.0,1413313701,2012-05-24
70,5,0,0.0,1413313701,2012-04-18
71,5,0,0.0,1413313701,2012-01-28
72,4,0,0.0,1413313701,2011-10-07
73,2,0,0.0,1413313701,2011-07-31
74,3,0,0.0,1413313701,2011-07-09
75,4,0,0.0,1413313701,2011-06-15
76,3,0,0.0,1413313701,2011-05-26
77,5,0,0.0,1413313701,2011-01-20
78,5,0,0.0,1413313701,2010-12-28
79,4,0,0.0,1413313701,2010-12-15
80,5,0,0.0,1413313701,2010-12-15
81,5,0,0.0,1413313701,2010-11-23
82,2,0,0.0,1413313728,2011-01-08
83,4,0,0.0,1413313728,2010-12-26
84,5,0,0.0,1413313728,2010-12-23
85,4,0,0.0,1413313728,2012-01-26
86,5,0,0.0,1413313728,2011-11-17
87,5,0,0.0,1413313728,2011-10-08
88,5,0,0.0,1413313728,2011-09-24
89,5,0,0.0,1413313728,2011-07-21
90,5,0,0.0,1413313728,2011-06-16
91,3,0,0.0,1413313728,2011-03-13
92,5,0,0.0,1413313728,2011-02-17
93,5,0,0.0,1413313728,2011-01-20
94,5,0,0.0,1413313728,2011-01-13
95,5,1,0.0,1426296355,2012-07-11
96,3,0,0.0,1426296355,2010-06-07
97,5,0,0.0,1426296355,2010-01-18
98,5,0,0.0,1426296355,2009-12-19
99,5,0,0.0,1426296355,2009-12-11
100,5,0,0.0,1426296355,2009-12-04
101,5,0,0.0,1426296355,2009-12-02
102,3,0,0.0,1600775411,2012-09-24
103,4,0,0.0,1600775411,2012-03-20
